,page_name,username,page_id,page_cateogry,topadmin_country,page_description,page_created,page_likes,page_followers,created_date,created_date_edt,created_time,type,total_interaction,nb_likes,nb_comments,nb_shares,nb_love,nb_wow,nb_haha,nb_sad,nb_angry,nb_care,video_share_status,video_owner,video_post_view,video_total_view,video_total_view_crossposts,video_length,post_fb_url,message,link,final_link,image_text,link_text,description,sponsor_id,sponsor_name,sponsor_category,score,post_id,week,month
5,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3183.0,3422.0,2022-06-19 10:00:01 EDT,2022-06-19,10:00:01,Photo,66,19,13,0,0,0,34,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/368444175384683,Happy Father's Day! It's a special two-for-one! #socialdistancing #memeoftheday,https://www.facebook.com/BrianHuttonJrWTAE/photos/a.115288300700273/368444138718020/?type=3,,EVERY RESTAURANT IN THE WORLD IS PACKED ON MOTHER'S MOT DAY BUT THEY WANT US TO BARBECUE ON FATHER'S DAY,Photos from Brian Hutton Jr. WTAE's post,,,,,1.1,,,
46,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3165.0,3402.0,2022-06-10 05:08:44 EDT,2022-06-10,05:08:44,Photo,62,54,3,0,5,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/362452495983851,I have the cool assignment this morning starting at 5:30!,https://www.facebook.com/BrianHuttonJrWTAE/photos/a.121257953436641/362452479317186/?type=3,,,,,,,,-1.02,,,
33,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3174.0,3412.0,2022-06-14 00:46:39 EDT,2022-06-14,00:46:39,Photo,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/364924102403357,"A Severe Thunderstorm Watch has been issued for the highlighted counties. Strong to severe storms are possible. For the latest forecast, visit wtae.com or the WTAE mobile app #pawx",https://www.facebook.com/BrianHuttonJrWTAE/photos/a.115288300700273/364924102403357/?type=3,,Franklin Clarion C ew Castle Butler Kittanning Indiana Beaver Pittsburgh SEVERE T-STORM WATCH Issued: Tuesday 12:45 AM Until: Tuesday 6:00 AM Greensburg Washington PITTSBURGH ACTION WEATHER Uniontown Morgantown,Timeline photos,,,,,-31.5,,,
52,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3164.0,3401.0,2022-06-08 23:12:46 EDT,2022-06-08,23:12:46,Photo,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/361646829397751,"A Severe Thunderstorm Warning has been issued for the highlighted areas. Strong winds and large hail are possible from storms moving through the area. For the latest forecast, visit wtae.com or the WTAE mobile app #pawx",https://www.facebook.com/BrianHuttonJrWTAE/photos/a.115288300700273/361646829397751/?type=3,,Franklin Clarion ÛeCa New Castle Butler Kittanning Indiana Beaver SEVERE T-STORM WARNING Issued: Wednesday 11:11 PM Until: Thursday 12:00 AM Pittsburgh Washington Greensburg PITTSBURGH'S ACTION WEATHER Uniontown Morgantown,Timeline photos,,,,,-63.0,,,
15,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3181.0,3420.0,2022-06-16 16:55:47 EDT,2022-06-16,16:55:47,Photo,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/366633638899070,A Severe Thunderstorm Warning has been issued for Washington County until Jun 16 5:45PM. Damaging winds and hail are possible with this storm #pawx,https://www.facebook.com/BrianHuttonJrWTAE/photos/a.115288300700273/366633638899070/?type=3,,North Fayette Smith Pittsburgh Monro South Fayette Bethel Park 79 McKeesport Nor WestMiddletown Peters Strabane SEVERE T-STORM WARNING Issued: Thursday 4:53 PM Until: Thursday 5:45 PM Elizabeth Donegal Nottingham Monongahela Û rove PITTSBURGH'S ACTION WEATHER Green Hills Rost Fallowfield Amwell Cokeburg East Finley California West Bethlehem Luzerne Ro Chartiers,Timeline photos,,,,,-61.0,,,
60,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3164.0,3401.0,2022-06-08 21:08:15 EDT,2022-06-08,21:08:15,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/361593212736446,"A Severe Thunderstorm Warning has been issued for the highlighted areas. Strong winds and large hail are possible from storms moving through the area. For the latest forecast, visit wtae.com or the WTAE mobile app #pawx",https://www.facebook.com/BrianHuttonJrWTAE/photos/a.115288300700273/361593212736446/?type=3,,Franklin Clarion New Castle Butler Kittanning Indiana Beaver SEVERE T-STORM WARNING Issued: Wednesday 9:06 PM Until: Wednesday 9:30 PM Pittsburgh Washington Greensburg PITTSBURGHE ACTION WEATHER HER Uniontown Morgantown,Timeline photos,,,,,-126.0,,,
31,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3174.0,3412.0,2022-06-14 01:02:51 EDT,2022-06-14,01:02:51,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/364931409069293,"A Severe Thunderstorm Warning has been issued for the highlighted areas. Strong winds and large hail are possible from storms moving through the area. For the latest forecast, visit wtae.com or the WTAE mobile app #pawx",https://www.facebook.com/BrianHuttonJrWTAE/photos/a.115288300700273/364931409069293/?type=3,,Franklin Clarion .Ca New Castle Butler Kittanning Indiana Beaver SEVERE T-STORM WARNING Issued: Tuesday 12:53 AM Until: Tuesday 1:30 AM Pittsburgh Greensburg Washington PITTSBURGHE ACTION WEATHER Uniontown Morgantown,Timeline photos,,,,,-126.0,,,
1,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3186.0,3425.0,2022-06-20 15:40:00 EDT,2022-06-20,15:40:00,Photo,499,397,24,0,77,0,0,0,0,1,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/369285798633854,Exploring Pittsburgh!,https://www.facebook.com/BrianHuttonJrWTAE/photos/a.121257953436641/369285778633856/?type=3,,CALU,,,,,,9.24,,,
27,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3174.0,3412.0,2022-06-14 13:05:31 EDT,2022-06-14,13:05:31,Photo,34,12,4,7,0,11,0,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/365263252369442,*Impact Day* Dangerous heat and humidity for Wednesday as our heat index could reach 100 in many locations! Stay cool and hydrated! #pawx #pghwx #pittsburgh,https://www.facebook.com/BrianHuttonJrWTAE/photos/a.115288300700273/365263252369442/?type=3,,PITTSBURGH' ACTION WEATHER WeatheRate MOSTACCURATE 95 Clarion 87 DuBois FUTURE FEEL 5:00 PM WEDNESDAY 96 101 Franklin New Castle 100 100 100 Butler Kittanning 95 Beaver Cranberry 100 Pittsburgh Monroeville 101 Indiana 101 97 Washington Greensburg 100 99 Waynesburg Uniontown 98 Morgantown 94 Somerset,Timeline photos,,,,,-1.82,,,
98,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3157.0,3390.0,2022-06-01 13:01:07 EDT,2022-06-01,13:01:07,Photo,8,7,0,1,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/356878846541216,"We average over 4"" of rain in June, although that is almost entirely from pop-up storms on hot and humid afternoons. Cold fronts start getting rarer this month, but can still cool us down as our average high reaches 80 by mid-month #pawx #pghwx",https://www.facebook.com/BrianHuttonJrWTAE/photos/a.115288300700273/356878846541216/?type=3,,"PITTSBURGH'S ACTION WEATHER WeathéRate MOS ACCURAT JUNE AVERAGES PITTSBURGH Average High Average Low JUN1 JUN JUN30 30 76° 82 55° 63° Average Precipitation RAIN 4.12"" SNOW 0.0""",Timeline photos,,,,,-7.88,,,
51,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3164.0,3401.0,2022-06-09 05:42:21 EDT,2022-06-09,05:42:21,Photo,8,8,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/361812779381156,Today is likely the coolest day of the next week as we struggle back to the 70s. Our big warming trend starts on Sunday as we dry out from Saturday's rain #pawx #pghwx #pittsburgh,https://www.facebook.com/BrianHuttonJrWTAE/photos/a.115288300700273/361812779381156/?type=3,,PITTSBURGH' ACTION WEATHER WeatheRate 105 ACCURA ACC TEMPERATURE TREND PITTSBURGH Thursday 71° Friday 73° Saturday 72° Sunday 76° Average High 78°,Timeline photos,,,,,-7.88,,,
21,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3181.0,3420.0,2022-06-16 10:00:02 EDT,2022-06-16,10:00:02,Photo,106,31,3,4,1,0,67,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/366431262252641,And I love lasagna! #socialdistancing #memeoftheday,https://www.facebook.com/BrianHuttonJrWTAE/photos/a.121257953436641/366431238919310/?type=3,,I'M LAZY. CHUBBY AND CYNICAL. I LOVE FOOD. NAPS. AND COFFEE. I HATE MONDAYS. PEOPLE. AND EXERCISE. I NEVER THOUGHT I WOULD GROW UP TO BE GARFIELD.,,,,,,1.74,,,
11,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3181.0,3420.0,2022-06-16 17:46:04 EDT,2022-06-16,17:46:04,Photo,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/366652515563849,"A Severe Thunderstorm Warning has been issued for the highlighted areas. Strong winds and large hail are possible from storms moving through the area. For the latest forecast, visit wtae.com or the WTAE mobile app #pawx",https://www.facebook.com/BrianHuttonJrWTAE/photos/a.115288300700273/366652515563849/?type=3,,Franklin Clarion New Castle Butler Kittanning Beaver Indiana Pittsburgh SEVERE T-STORM WARNING Issued: Thursday 5:39 PM Until: Thursday 6:00 PM Washington Greensburg PITTSBURGH'S ACTION WEATHER HER Uniontown Morgantown,Timeline photos,,,,,-61.0,,,
7,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3183.0,3421.0,2022-06-18 17:58:27 EDT,2022-06-18,17:58:27,Photo,19,11,5,2,1,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/367998272095940,Any plans tomorrow with dad look fantastic with highs in the lower 70s! #pawx #pghwx #pittsburgh,https://www.facebook.com/BrianHuttonJrWTAE/photos/a.115288300700273/367998272095940/?type=3,,PITTSBURGH' ACTION WEATHER WeatheRate MOST ACCURATE 7:00 AM FATHER'S DAY FORECAST Cool Start 12:00 PM 47° Mostly Cloudy 68° 5:00 PM Partly Cloudy Cloudy 71°,Timeline photos,,,,,-3.16,,,
61,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3164.0,3401.0,2022-06-08 20:58:56 EDT,2022-06-08,20:58:56,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/361589456070155,"A Severe Thunderstorm Warning has been issued for the highlighted areas. Strong winds and large hail are possible from storms moving through the area. For the latest forecast, visit wtae.com or the WTAE mobile app #pawx",https://www.facebook.com/BrianHuttonJrWTAE/photos/a.115288300700273/361589456070155/?type=3,,Franklin Clarion New Castle Butler Kittanning Indiana Beaver SEVERE T-STORM WARNING Issued: Wednesday 8:58 PM Until: Wednesday 9:45 PM Pittsburgh Greensburg Washington PITTSBURGHS ACTION WEATHER Uniontown Morgantown,Timeline photos,,,,,-126.0,,,
8,Brian Hutton Jr. WTAE,BrianHuttonJrWTAE,100953385467098,NEWS_PERSONALITY,US,Weekend evening meteorologist at WTAE-TV in Pittsburgh.,2021-04-13 18:02:38,3183.0,3421.0,2022-06-18 10:00:02 EDT,2022-06-18,10:00:02,Photo,9,2,3,0,0,3,1,0,0,0,,-,0,0,0,,https://www.facebook.com/100953385467098/posts/367761382119629,Or….faces works #socialdistancing #memeoftheday,https://www.facebook.com/BrianHuttonJrWTAE/photos/a.121257953436641/367761352119632/?type=3,,,,,,,,-6.67,,,
