message,post_fb_url,page_name,username,page_id,page_cateogry,topadmin_country,page_description,page_created,page_likes,page_followers,created_date,created_date_edt,created_time,type,total_interaction,nb_likes,nb_comments,nb_shares,nb_love,nb_wow,nb_haha,nb_sad,nb_angry,nb_care,video_share_status,video_owner,video_post_view,video_total_view,video_total_view_crossposts,video_length,post_fb_url,,,final_link,image_text,link_text,,sponsor_id,sponsor_name,sponsor_category,Results
,https://www.facebook.com/93334794039/posts/1489460381496740,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6605.0,7172.0,2022-06-13 15:43:46 EDT,2022-06-13,15:43:46,Live Video Scheduled,4,4,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/1489460381496740,,,,,Networking with NoVa District,,,,,
"Del. Don Scott wants to see more movies filmed in Virginia. “I think we have so much talent here,” he said. “And we have a natural topography, between the mountains and the beaches, that we can do a lot with.” Read more: https://bit.ly/3902xYB:=:https://www.pilotonline.com/government/virginia/vp-nw-fz22-virginia-films-20220531-me3sp4hp6vhmzosrj7k322ixva-story.html",https://www.facebook.com/93334794039/posts/10160198791489040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6591.0,7156.0,2022-06-01 11:19:54 EDT,2022-06-01,11:19:54,Photo,72,46,4,10,12,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10160198791489040,,,,,Timeline photos,,,,,
"We had a fantastic time networking in Richmond and NoVa districts this week! Thank you so everyone who attended, and our new members who joined. Keep an eye on our calendar for more upcoming events!",https://www.facebook.com/93334794039/posts/10160238030544040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6618.0,7194.0,2022-06-24 13:00:13 EDT,2022-06-24,13:00:13,Photo,4,4,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10160238030544040,,,,,Photos from Virginia Production Alliance's post,,,,,
"Our next event in NoVa is coming up soon! Join the NoVa VPA for an evening of creative fun and networking. You will be joining small groups with others in the film industry to get those creative juices flowing. Come out and join us for this exciting evening, you won't want to miss it! Register at: https://bit.ly/3tASXm1:=:https://www.virginiaproductionalliance.org/event-4863874",https://www.facebook.com/93334794039/posts/10160221312219040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6607.0,7175.0,2022-06-14 08:00:39 EDT,2022-06-14,08:00:39,Photo,6,3,1,2,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10160221312219040,,,,"JUNE 23, 2022 6:30 PM NETW ORKING WITH NOVA DISTRICT Thundershot Studios 9425 Mathy Dr, Fairfax, VA 22031",Timeline photos,,,,,
Premieres tonight!,https://www.facebook.com/93334794039/posts/10158948500364040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6472.0,6906.0,2020-10-04 12:43:12 EDT,2020-10-04,12:43:12,YouTube,31,16,2,6,7,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10158948500364040,,,https://www.google.com/sorry/index?continue=https://www.youtube.com/watch%3Fv%3D3lH92rbNgrk%26feature%3Dyoutu.be&q=EgQ0KuTRGNb95_sFIhkA8aeDS0HRzNXyAD_AUY_H9h1GULE4Yz-yMgFy,,Behind the Scenes of The Good Lord Bird,,,,,
"Don't forget to register for this Wednesday's event, you do not want to miss this! https://virginiaproductionalliance.org/event-4018275",https://www.facebook.com/93334794039/posts/10159004237524040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6477.0,6920.0,2020-10-26 16:26:31 EDT,2020-10-26,16:26:31,Photo,3,2,0,1,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10159004237524040,,,,,,,,,,
,https://www.facebook.com/93334794039/posts/10159006337489040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6477.0,6920.0,2020-10-27 11:40:56 EDT,2020-10-27,11:40:56,Photo,9,8,1,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10159006337489040,,,,,,,,,,
,https://www.facebook.com/93334794039/posts/10158968394134040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6475.0,6912.0,2020-10-11 22:20:22 EDT,2020-10-11,22:20:22,Link,28,20,0,3,5,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10158968394134040,,,,,"Ethan Hawke's 'The Good Lord Bird' takes flight on Showtime, series filmed in Virginia",,,,,
"TONIGHT! Join Richmond District to meet, greet, and mingle! We will host a “live” mic for members to share updates, announcements, and current project needs. Register at: bit.ly/3O3JlrC:=:https://www.virginiaproductionalliance.org/event-4862347",https://www.facebook.com/93334794039/posts/10160234448414040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6616.0,7192.0,2022-06-22 09:41:11 EDT,2022-06-22,09:41:11,Photo,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10160234448414040,,,,"& RICHMOND DISTRICT MIXER OPEN MIC Studio Two Three 3300 W Clay St. Richmond, VA 23230 GUESTS $5 FREE FOR VPA MEMBERS JUNE 22 6:00 PM",Timeline photos,,,,,
"The Walking Dead: World Beyond is an American post-apocalyptic horror drama spin-off filmed entirely in Richmond, Petersburg, and Hopewell, Virginia. Among the reception, actresses Alexa Mansour and Aliyah Royale, who play Hope Bennett and Iris Bennett in the spin-off, received the Gracie Award for an actress in a breakthrough role in 2021. The spin-off also received two awards from The ReFrame Stamp the same year. #VPA #VFO #TheWalkingDead #WorldBeyond #Spinoff #FilmVirginia",https://www.facebook.com/93334794039/posts/10160202044064040,Virginia Production Alliance,virginiaproduction,93334794039,BROADCASTING_MEDIA_PRODUCTION,US,"The Virginia Production Alliance exists to help network the film community in Virginia. 

We also advocate for the film community's interest in the state legislature, especially for increasing film incentives.",2009-06-15 15:10:51,6599.0,7164.0,2022-06-03 09:00:34 EDT,2022-06-03,09:00:34,Photo,6,4,1,0,1,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/93334794039/posts/10160202044064040,,,,,Timeline photos,,,,,
