,page_id,page_name,page_handle,page_url,page_description,page_category,page_verified,page_created_date,page_profile_image,page_follower_count,topAdminCountry,languageCode
7850,100063708423199,ZVEZDA+MARAKANA=PONOS SRBIJE!!!,DADOMIKI,https://www.facebook.com/233791854065,"Stranica na kojoj možete saznati sve vesti vezane za našu Crvenu zvezdu. Slike, vesti, izveštaji,",NEWS_SITE,0,2009-12-19 14:07:10,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/303167097_490101106456833_8970498940652413454_n.jpg?stp=c8.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=jq9UAkS28tsAX_cq6Os&_nc_ht=scontent-sea1-1.xx&oh=00_AfADn36NAEopepDL460tK-PNz8hMxkrQnHptm8ZJBgOHOA&oe=65F06040,21169,RS,und
13,100063739141519,Insajder,insajder.net,https://www.facebook.com/166998640057772,"Mi nismo držači mikrofona, mi postavljamo pitanja. 
Zvanični FB nalog Insajdera",MEDIA_NEWS_COMPANY,1,2011-10-24 11:10:34,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/267613721_4611763302247928_1177923814442789023_n.png?stp=cp0_dst-png_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=CCO5YmpEIc8AX_FWpBY&_nc_ht=scontent-sea1-1.xx&oh=00_AfCO4CMsSQDVlZuNyCIL5ef2RGj1B9wEUdN03iOsCWiq3Q&oe=65EFC495,118819,RS,hr
13090,100063774311841,Szabad Magyar Szó,szabadmagyarszo,https://www.facebook.com/1791656114457032,Szabad Magyar Szó: Az egyetlen vajdasági magyar független  hírportál ,MEDIA_NEWS_COMPANY,0,2016-10-18 15:47:36,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/408940601_880774474058355_7742279697452121609_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=sT8nFRXHmNYAX8UHs-x&_nc_ht=scontent-sea1-1.xx&oh=00_AfAd2kXti8lxKtafw96S9CGvPiMciHLnsSWUo9OVlAasiQ&oe=65EF8918,30758,RS,hu
7904,100063775131831,Indeks Online,indeksonlinevesti,https://www.facebook.com/131634890765777,Vesti iz svih delova Srbije i sveta! Najbrže i najtačnije. Zapratite INSTAGRAM @indeksonline_rs,NEWS_SITE,0,2017-07-17 15:07:50,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/277762957_372033848265783_1465514410735489808_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ru0S7keeutUAX8gfYxo&_nc_ht=scontent-sea1-1.xx&oh=00_AfD3ayRhZ3nyVP--hyIrIAuGQABbZHNTVJO9pDHe8aSKsw&oe=65EF700A,43941,RS,hr
7714,100063849375688,Politički.rs,politicki.rs,https://www.facebook.com/100063849375688,Slobodna teritorija,NEWS_SITE,0,2020-02-27 01:02:05,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/294202422_439569764847999_1628570578208392810_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Vsv3BFhor0QAX-NRslZ&_nc_ht=scontent-sea1-1.xx&oh=00_AfBOpkgG_szZP6B4f_22XnsugJku_tN8n-RUjaH_StS-ow&oe=65F0D07C,1549,RS,und
2195,100063880812661,Nova ekonomija,casopisnovaekonomija,https://www.facebook.com/485998041485256,"""Nova ekonomija"" je moderan i zanimljiv ekonomski časopis, u kome pišu najbolji ekonomski novinari",NEWS_SITE,0,2013-07-15 14:21:02,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/284473871_400288075443883_9112439564618021834_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=_JSWXoAeuGcAX9v-j7Y&_nc_ht=scontent-sea1-1.xx&oh=00_AfBWDk8IwaYR6R8jSOC1pH3HLVdiSrwL8ryZ0OYP0V7K_w&oe=65EFEB45,22314,RS,hr
230,100063943957800,Family,,https://www.facebook.com/1377626889138901,"LIKE i pratite nas na Facebook-u, pripremili smo vam mnoga iznenađenja.",NEWS_SITE,0,2013-09-16 16:43:02,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/302427786_473230574818404_7207984357021654812_n.png?stp=cp0_dst-png_p50x50&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=cc3UfGMEGkUAX-YylpS&_nc_ht=scontent-sea1-1.xx&oh=00_AfAqZfX4s5MgD-YTJXcbz9K1c9EiIStTvAUCk87_GSBgRg&oe=65EFA96B,51747,RS,hr
353,100063951074650,Volim te ツ,okicemoje29,https://www.facebook.com/1648743228692968,News & media website,NEWS_SITE,0,2015-05-26 16:08:32,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/304770884_463749082433457_1851502602760295918_n.jpg?stp=c0.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=pH_mMX6TaBsAX8XJdEF&_nc_ht=scontent-sea1-1.xx&oh=00_AfBouxfbTlgf2N4sRtsC8ns8QSgJQJ-ORHQonH_v5ydkNg&oe=65F02739,74395,RS,und
7586,100063953347418,Šabačke Vesti,vestisabac,https://www.facebook.com/1387169948243938,"Privatna stranica na kojoj se objavljuju vesti koje zabeleže obični ljudi, čitaoci reporteri.",MEDIA_NEWS_COMPANY,0,2014-12-09 12:34:12,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/417440515_808942541247517_7494115208495013239_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=V9WD8mF72mwAX-rxkfA&_nc_ht=scontent-sea1-1.xx&oh=00_AfB7NlEkUFTvT3ibLrON1FNdV6vMPc1RRkawdCwWkTWKEA&oe=65EFAAEC,37186,RS,hr
1384,100064014162754,Euronews Serbia,euronewsserbia,https://www.facebook.com/344837679783300,Zvaničan profil Euronews u Srbiji,BROADCASTING_MEDIA_PRODUCTION,1,2019-07-15 14:27:18,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/306010933_459676899509445_7416969471310708434_n.png?stp=cp0_dst-png_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=gd_JTJyNE98AX-Q4-jF&_nc_ht=scontent-sea1-1.xx&oh=00_AfC4yh7aRThV-Vd3wepDlJEqjJYvzvbBRUDTbfR3g8NWKg&oe=65EF5609,20964,RS,und
