,page_id,page_name,page_handle,page_url,page_description,page_category,page_verified,page_created_date,page_profile_image,page_follower_count,topAdminCountry,languageCode
70089,100064794335382,RTBF,rtbf,https://www.facebook.com/239915266217,"Sur https://rtbf.be, vous pouvez suivre l'actualité, voir et revoir la plupart de nos programmes, participer à des concours, ... ",MEDIA_NEWS_COMPANY,1,2010-01-05 09:53:31,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/351919423_212816671635494_3020515892959231500_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=a27e22&_nc_ohc=LaSqaxW6eRYAX-K3f8t&_nc_ht=scontent-sea1-1.xx&oh=00_AfCXZB-5t--cEujg7E9Nk6JakqUIdh09NWHRdKQVcL2afg&oe=65C91C05,599748,BE,fr
32805,100064818603555,RTL People & Buzz,RTL.be,https://www.facebook.com/158406914217420,Vos émotions sur mesure,NEWS_SITE,1,2011-03-18 13:29:07,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/327550611_1018818095742764_1566723864055215865_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=110&ccb=1-7&_nc_sid=a27e22&_nc_ohc=1CBjzSLKVjgAX_i011I&_nc_ht=scontent-sea1-1.xx&oh=00_AfBQ5z6xsVTWiS_xXNNLbeFSr4vWCRzieEtej2Syz9GSNA&oe=65C87E16,164136,BE,fr
48984,100064868255048,L'Echo,lechobe,https://www.facebook.com/12220550551,"Média francophone, L'Echo informe et inspire celles et ceux qui ont l'esprit d'entreprendre.",TOPIC_NEWSPAPER,1,2008-02-25 09:52:42,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/341905803_188845437327767_6639120351514262080_n.png?stp=cp0_dst-png_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=a27e22&_nc_ohc=JFZLP9FSReUAX8W57qk&_nc_ht=scontent-sea1-1.xx&oh=00_AfCQ3pNGwvVCqmZpHk280IEy-eBFtrpBRvJGkmahsR2I8Q&oe=65C94F09,115869,BE,fr
43115,100064907583534,Sudinfo.be,sudinfo.be,https://www.facebook.com/157639210239,"Suivez l'actualité en direct sur www.sudinfo.be. A chaque instant, au premier rang",NEWS_SITE,1,2009-09-09 11:19:00,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/246772681_10159338993045240_4083509152413443290_n.png?stp=cp0_dst-png_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=a27e22&_nc_ohc=9qQ9xmQhg7QAX9vbF9G&_nc_oc=AQkKbEXpWR-wB0qvSDmYDh4eBJL0zt_GbZM_wzk0g9QD3La7ugu6TsiulWBYMAzagQk&_nc_ht=scontent-sea1-1.xx&oh=00_AfA6cf1fP34c2bTQ8bHczEgnX_UxekmBCVczveA9DWjRYQ&oe=65C88FAC,257391,BE,und
141342,100064926091111,Al het nieuws uit Ronse,AlhetnieuwsuitRonse,https://www.facebook.com/116205058465333,Op zoek naar nieuws uit Ronse? Lees als eerste wat er vandaag gebeurgd in jouw stad en regio bij het Nieuwsblad. www.nieuwsblad.be/ronse,NEWS_SITE,0,2011-05-19 01:20:20,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/320802077_834012627668626_4232495219254443893_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=a27e22&_nc_ohc=fqvK9HDlvm0AX9xgERc&_nc_ht=scontent-sea1-1.xx&oh=00_AfCn0KbtLYKlXS0Od24z8zJsyqc85QT8tZUoZE2PgWacJg&oe=65D365E8,4671,BE,und
141276,100064967430904,Voetbalkrant.com,Voetbalkrant,https://www.facebook.com/34106953120,"Klik op 'Vind ik leuk', lees het belangrijkste voetbalnieuws als eerste en win leuke prijzen!",MEDIA_NEWS_COMPANY,0,2008-07-27 10:38:28,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/339734514_1809969392721391_1547252137589755479_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=104&ccb=1-7&_nc_sid=a27e22&_nc_ohc=qbOTBkAWtJsAX8wfUTJ&_nc_ht=scontent-sea1-1.xx&oh=00_AfD53CQ98v_bf_FHHNqNRc93pc6N9HKxCe4bGmi01thBTA&oe=65D34E41,135468,BE,nl
137518,100065622307415,Ook dat nog,,https://www.facebook.com/107357438100567,News & media website,NEWS_SITE,0,2021-03-16 10:48:53,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/301539341_432512375612836_7035298902782381248_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=a27e22&_nc_ohc=8j6KFjiuzdMAX80Oqw1&_nc_ht=scontent-sea1-1.xx&oh=00_AfBODD043Xf8du8Ub8EBesbLT59nUH6VXyrnsVqeXHrf9g&oe=65D35CBD,30492,BE,nl
151361,100066506442118,Enkel in België,enkelinbelgie,https://www.facebook.com/106924451339982,Nieuws uit België,NEWS_SITE,0,2020-12-31 12:51:44,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/310147974_453136096913268_7032860934095618049_n.png?stp=c13.0.50.50a_cp0_dst-png_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=a27e22&_nc_ohc=Jna0ZD-jPYAAX-iqCwe&_nc_ht=scontent-sea1-1.xx&oh=00_AfBI6zWr1NMzOh0odqlJnSIHbuGhnhkNrO4fJ40N2fzafA&oe=65D37C51,35636,BE,nl
8052,100066667155917,BX1 Sport - Bruxelles,bx1.sport,https://www.facebook.com/586267178191411,"Le sport en Région bruxelloise, ça se passe ici ! Foot, Futsal, Basket, Hockey, Arts martiaux, ...",MEDIA_NEWS_COMPANY,0,2012-08-02 11:30:00,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/308610204_433257938906441_9058691247962131616_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=107&ccb=1-7&_nc_sid=a27e22&_nc_ohc=FYWsVYjRcYYAX97vPum&_nc_ht=scontent-sea1-1.xx&oh=00_AfDTRbF1ZlM9lWs1sEcq04OYc0Zj55sCFUQjvw7GLtwZ4g&oe=65C9ABA2,19559,BE,fr
137521,100066754951367,Nieuws365.be,nieuws365be1,https://www.facebook.com/74898031175,Nieuws365.be werd eind 2018 gelanceerd door mediabedrijf Rabona. Op deze website brengen we elke dag opnieuw het meest sappige en attractieve nieuws online. Onze berichtgeving staat in het teken van de Vlaamse media- en entertainmentwereld. ,NEWS_SITE,0,2009-04-17 15:07:00,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/272901979_10158294116236176_6178595645480852456_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=a27e22&_nc_ohc=_ZFVjTr60kUAX_iCga6&_nc_ht=scontent-sea1-1.xx&oh=00_AfAjY1G6Bm-fuST8mlymVJZiZbLadrsxGshtbz7MbWHQFQ&oe=65D3C8D9,87484,BE,nl
136696,100066794935055,Gazet van Ravels,gazetvanravels,https://www.facebook.com/106347068266142,Je leest hier elke dag het belangrijkste nieuws uit Ravels. Meer nieuws? https://www.gva.be/regio/ravels,TOPIC_NEWSPAPER,0,2021-04-23 13:01:26,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/308627162_426629109573583_126418977448899390_n.png?stp=cp0_dst-png_p50x50&_nc_cat=102&ccb=1-7&_nc_sid=a27e22&_nc_ohc=33m_FJfelm0AX9tySWK&_nc_ht=scontent-sea1-1.xx&oh=00_AfAQIlZWsZlM1MYqxoKyQrql4BNKCAcA8q91M_rOjuRpxg&oe=65D3A4E8,1183,BE,nl
137321,100067087635113,Gazet van Lille,gazetvanlille,https://www.facebook.com/108961314666844,Je leest hier elke dag het belangrijkste nieuws uit Lille. Meer nieuws? https://www.gva.be/regio/lille,TOPIC_NEWSPAPER,0,2021-04-23 09:39:26,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/307316576_422714059974845_3121597084453367898_n.png?stp=cp0_dst-png_p50x50&_nc_cat=105&ccb=1-7&_nc_sid=a27e22&_nc_ohc=LzmnVgjexmMAX8XtxQH&_nc_ht=scontent-sea1-1.xx&oh=00_AfDrKoRogFURF3_ypdRjoEatCgzSnn73QWLjptVWTWCBOg&oe=65D3E199,1443,BE,nl
137334,100067143668556,Gazet van Turnhout,degazetvanturnhout,https://www.facebook.com/100160462229136,Je leest hier elke dag het belangrijkste nieuws uit Turnhout. Meer nieuws? https://www.gva.be/regio/turnhout,TOPIC_NEWSPAPER,0,2021-04-23 13:41:22,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/309058303_416796417235144_2626434972946547966_n.png?stp=cp0_dst-png_p50x50&_nc_cat=101&ccb=1-7&_nc_sid=a27e22&_nc_ohc=2vuFDBA90IkAX-HGeoq&_nc_ht=scontent-sea1-1.xx&oh=00_AfAVFPDnkVlprmK8aO28S8vgRS2FzJydZG697PFw--1epA&oe=65D365BC,4022,BE,nl
49742,100067353571481,Laatste Transfernieuws,Laatste.Transfernieuws,https://www.facebook.com/269028916621246,Via deze pagina ben je als eerste op de hoogte van het laatste transfernieuws en hoor je als eerste de nieuwste transfergeruchten. www.voetbalprimeur.be,MEDIA_NEWS_COMPANY,0,2014-07-25 13:02:44,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/242144152_175667268021725_1132687496895853001_n.png?stp=cp0_dst-png_p50x50&_nc_cat=109&ccb=1-7&_nc_sid=a27e22&_nc_ohc=pDaEk4GQ7n8AX_7RUte&_nc_ht=scontent-sea1-1.xx&oh=00_AfDwg0em1add-KKTqRn8INCplABeTmT0_OeNRMoisp1bGA&oe=65C838E8,41540,BE,und
